# stan_version_major = 2
# stan_version_minor = 22
# stan_version_patch = 1
# model = covid19_model_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = covid19_model.data.R
# init = covid19_model.init.R
# random
#   seed = -1 (Default)
# output
#   file = sampling.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,gamma,alpha0,beta,I0
# Adaptation terminated
# Step size = 0.215957
# Diagonal elements of inverse mass matrix:
# 0.0706014, 0.00454586, 0.0470025, 0.0148182
-231.295,0.94745,0.215957,2,3,0,231.787,0.126113,0.268446,0.00419089,356.347
-231.072,1,0.215957,3,11,0,232.206,0.120285,0.279609,0.00360712,370.807
-231.757,0.962829,0.215957,2,3,0,232.741,0.10414,0.270395,0.00379781,372.403
-229.54,1,0.215957,4,15,0,231.906,0.129115,0.274447,0.00368296,314.531
-229.485,0.982225,0.215957,4,15,0,231.378,0.150399,0.271,0.00431076,355.606
-229.894,0.958723,0.215957,4,15,0,230.464,0.152022,0.285694,0.00450973,314.765
-231.908,0.957823,0.215957,5,31,0,234.238,0.245548,0.2584,0.00447158,312.083
-231.774,0.921259,0.215957,4,15,0,233.313,0.204743,0.269032,0.00437746,271.123
-231.107,0.993099,0.215957,3,15,0,233.928,0.159595,0.279932,0.00379802,282.38
-231.251,0.990294,0.215957,3,15,0,232.363,0.136031,0.266279,0.00388978,396.768
-230.222,0.99807,0.215957,3,15,0,232.036,0.154365,0.263182,0.0041084,357.761
-229.367,1,0.215957,3,7,0,230.423,0.153554,0.269173,0.00403665,348.903
-229.987,0.945695,0.215957,4,23,0,231.715,0.187345,0.257864,0.00357172,317.032
-231.019,0.953287,0.215957,4,15,0,231.475,0.184859,0.259835,0.00293809,281.535
-230.845,0.996166,0.215957,4,15,0,231.977,0.149387,0.263266,0.003144,274.655
-231.903,0.925012,0.215957,4,15,0,233.78,0.184599,0.283757,0.00554695,371.661
-232.238,0.575155,0.215957,4,15,0,235.445,0.109962,0.298698,0.00492972,345
-230.529,0.670114,0.215957,4,15,0,237.109,0.150427,0.269987,0.00350574,344.097
-229.169,0.974441,0.215957,2,7,0,231.138,0.14672,0.267867,0.00369287,309.542
-230.736,0.830453,0.215957,3,15,0,231.372,0.135966,0.266366,0.00379499,310.211
-229.68,0.999821,0.215957,3,15,0,232.148,0.146508,0.268389,0.00377411,301.121
-229.13,0.998567,0.215957,2,7,0,230.297,0.167754,0.267573,0.00377041,306.88
-229.076,0.992796,0.215957,3,15,0,230.727,0.159592,0.264483,0.00362139,311.763
-229.004,0.996786,0.215957,4,19,0,230.059,0.161194,0.2724,0.00419582,322.268
-229.551,0.96612,0.215957,4,15,0,230.221,0.127008,0.272079,0.00378736,362.645
-229.113,0.999909,0.215957,3,7,0,229.64,0.135007,0.272371,0.00368233,333.949
-231.403,0.813932,0.215957,4,15,0,233.838,0.237554,0.257627,0.00367195,274.62
-232.087,0.971576,0.215957,3,7,0,232.451,0.249497,0.258265,0.00366883,275.395
-232.272,0.998273,0.215957,4,15,0,235.011,0.195654,0.23841,0.00240774,291.008
-232.024,0.861842,0.215957,3,15,0,237.537,0.151862,0.259403,0.00338,376.083
-232.111,0.97519,0.215957,2,3,0,233.186,0.145157,0.257351,0.00322611,378.491
-229.262,0.999674,0.215957,3,15,0,232.632,0.126462,0.27619,0.00399329,337.641
-230.436,0.951788,0.215957,4,15,0,231.247,0.185289,0.277702,0.00458302,337.436
-230.146,0.859681,0.215957,4,15,0,232.846,0.150004,0.288685,0.00508971,337
-231.399,0.934555,0.215957,4,15,0,232.709,0.102982,0.285464,0.00405629,410.807
-230.656,0.972522,0.215957,4,15,0,233.649,0.150506,0.294601,0.00522893,348.693
-230.41,1,0.215957,4,15,0,231.741,0.136342,0.293936,0.00527872,371.04
-230.798,0.691132,0.215957,2,3,0,232.233,0.133866,0.295776,0.00544678,380.354
-232.749,0.514234,0.215957,4,15,0,234.191,0.10175,0.275934,0.00409404,360.936
-233.732,0.971655,0.215957,3,15,0,238.915,0.127514,0.267122,0.0020624,299.646
-234.145,0.989239,0.215957,4,15,0,236.649,0.280463,0.246303,0.00356916,304.884
